       1807.908	         41.192	           0.53	          2.991
       1807.909	         41.174	           0.53	          3.006
       1807.910	         41.156	           0.54	          3.022
       1807.911	         41.137	           0.54	          3.037
       1807.912	         41.119	           0.55	          3.053
       1807.913	         41.112	           0.55	          3.067
       1807.914	         41.112	           0.55	          3.080
       1807.915	         41.112	           0.55	          3.093
       1807.916	         41.112	           0.55	          3.106
       1807.917	         41.112	           0.56	          3.120
       1807.918	         41.112	           0.56	          3.133
       1807.919	         41.112	           0.56	          3.146
       1807.920	         41.112	           0.56	          3.160
       1807.921	         41.112	           0.56	          3.173
       1807.922	         41.112	           0.57	          3.186
       1807.923	         41.108	           0.57	          3.198
       1807.924	         41.100	           0.57	          3.210
       1807.925	         41.093	           0.57	          3.222
       1807.926	         41.086	           0.57	          3.234
       1807.927	         41.079	           0.57	          3.245
       1807.928	         41.072	           0.57	          3.257
       1807.929	         41.064	           0.57	          3.269
       1807.930	         41.057	           0.57	          3.281
       1807.931	         41.050	           0.57	          3.292
       1807.932	         41.043	           0.57	          3.304
       1807.933	         41.040	           0.57	          3.315
       1807.934	         41.040	           0.57	          3.325
       1807.935	         41.040	           0.56	          3.334
       1807.936	         41.040	           0.56	          3.344
       1807.937	         41.040	           0.56	          3.354
       1807.938	         41.040	           0.56	          3.364
       1807.939	         41.040	           0.56	          3.374
       1807.940	         41.040	           0.55	          3.383
       1807.941	         41.040	           0.55	          3.393
       1807.942	         41.040	           0.55	          3.403
       1807.943	         41.034	           0.55	          3.412
       1807.944	         41.023	           0.54	          3.421
       1807.945	         41.012	           0.54	          3.429
       1807.946	         41.001	           0.54	          3.438
       1807.947	         40.990	           0.53	          3.446
       1807.948	         40.980	           0.53	          3.455
       1807.949	         40.969	           0.53	          3.463
       1807.950	         40.958	           0.52	          3.472
       1807.951	         40.947	           0.52	          3.480
       1807.952	         40.936	           0.52	          3.488
       1807.953	         40.932	           0.51	          3.496
       1807.954	         40.932	           0.51	          3.503
       1807.955	         40.932	           0.50	          3.510
       1807.956	         40.932	           0.50	          3.517
       1807.957	         40.932	           0.50	          3.525
       1807.958	         40.932	           0.49	          3.532
       1807.959	         40.932	           0.49	          3.539
       1807.960	         40.932	           0.49	          3.546
       1807.961	         40.932	           0.48	          3.553
       1807.962	         40.932	           0.48	          3.560
       1807.963	         40.928	           0.48	          3.566
       1807.964	         40.920	           0.48	          3.572
       1807.965	         40.913	           0.47	          3.577
       1807.966	         40.906	           0.47	          3.583
       1807.967	         40.899	           0.47	          3.589
       1807.968	         40.892	           0.47	          3.594
       1807.969	         40.884	           0.47	          3.600
       1807.970	         40.877	           0.47	          3.605
       1807.971	         40.870	           0.47	          3.611
       1807.972	         40.863	           0.47	          3.617
       1807.973	         40.860	           0.47	          3.622
       1807.974	         40.860	           0.47	          3.627
       1807.975	         40.860	           0.47	          3.632
       1807.976	         40.860	           0.48	          3.637
       1807.977	         40.860	           0.48	          3.642
       1807.978	         40.860	           0.48	          3.647
       1807.979	         40.860	           0.48	          3.652
       1807.980	         40.860	           0.49	          3.657
       1807.981	         40.860	           0.49	          3.663
       1807.982	         40.860	           0.49	          3.668
       1807.983	         40.856	           0.50	          3.672
       1807.984	         40.848	           0.50	          3.677
       1807.985	         40.841	           0.51	          3.682
       1807.986	         40.834	           0.51	          3.686
       1807.987	         40.827	           0.52	          3.691
       1807.988	         40.820	           0.53	          3.696
       1807.989	         40.812	           0.53	          3.700
       1807.990	         40.805	           0.54	          3.705
       1807.991	         40.798	           0.54	          3.710
       1807.992	         40.791	           0.55	          3.715
       1807.993	         40.788	           0.55	          3.719
       1807.994	         40.788	           0.56	          3.724
       1807.995	         40.788	           0.57	          3.729
       1807.996	         40.788	           0.57	          3.733
       1807.997	         40.788	           0.58	          3.738
       1807.998	         40.788	           0.58	          3.743
       1807.999	         40.788	           0.59	          3.748
